support,friends,education,female,age,attend,ideology,party
0,2,3,0,55,4,2,Republican
0,2,3,0,34,4,3,Republican
1,2,3,0,79,4,3,Democrat
1,2,3,0,59,4,3,Independent
0,2,3,0,48,3,3,Democrat
0,2,3,0,63,3,3,Independent
1,2,3,0,66,2,2,Independent
0,2,3,0,99,2,2,Independent
1,2,3,0,41,2,3,Independent
1,2,3,0,55,2,3,Independent
1,2,3,0,85,1,2,Republican
1,2,3,0,60,1,2,Independent
1,2,3,0,89,1,3,Democrat
1,2,3,0,76,1,3,Democrat
1,2,3,0,36,1,4,Democrat
1,2,3,0,38,1,4,Independent
1,2,3,0,32,1,5,Democrat
1,2,3,0,26,0,2,Republican
1,2,3,0,62,0,3,Republican
1,2,3,0,58,0,4,Independent
1,2,3,0,72,0,4,Independent
1,2,3,0,62,0,4,Independent
1,2,3,0,60,0,5,Democrat
1,2,3,1,42,4,2,Independent
0,2,3,1,69,4,3,Republican
1,2,3,1,57,4,5,Democrat
1,2,3,1,39,4,5,Democrat
1,2,3,1,57,3,2,Independent
1,2,3,1,33,3,3,Democrat
0,2,3,1,35,2,3,Independent
1,2,3,1,58,2,3,Independent
1,2,3,1,80,2,4,Democrat
1,2,3,1,68,1,3,Republican
1,2,3,1,62,1,3,Democrat
1,2,3,1,72,1,4,Democrat
1,2,3,1,35,1,4,Democrat
1,2,3,1,99,1,5,Democrat
1,2,3,1,62,0,4,Democrat
0,1,3,0,58,5,1,Republican
0,1,3,0,96,4,2,Independent
1,1,3,0,47,0,3,Republican
0,1,3,1,80,5,3,Independent
0,1,3,1,65,4,1,Republican
0,1,3,1,55,4,1,Republican
0,1,3,1,44,4,2,Republican
0,1,3,1,43,4,3,Republican
1,1,3,1,62,4,3,Republican
0,1,3,1,75,3,2,Independent
1,1,3,1,54,3,3,Democrat
0,1,3,1,44,1,2,Independent
1,1,3,1,36,1,3,Independent
